trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
326	jealous :: opinionated	jealous	opinionated	0	1	0	0	0	0	0	jealousy relates to fairness (perceived inequity)
327	protagonist :: antagonist	protagonist	antagonist	0	0	0	0	0	0	1	protagonist/antagonist as moral archetypes
328	devoted :: unfaithful	devoted	unfaithful	0	0	1	0	0	0	0	devoted and unfaithful directly relate to loyalty
329	fearmongering :: reassuring	fearmongering	reassuring	1	0	0	0	0	0	0	fearmongering causes harm, reassuring soothes
330	common sense :: analysis	common sense	analysis	0	0	0	0	0	0	0	
331	unemotional :: emotional	unemotional	emotional	0	0	0	0	0	0	0	
332	rap :: rock	rap	rock	0	0	0	0	0	0	0	
333	genocidal :: not genocidal	genocidal	not genocidal	1	0	0	0	0	0	0	genocidal is extreme harm
334	cat person :: dog person	cat person	dog person	0	0	0	0	0	0	0	
335	indie :: pop	indie	pop	0	0	0	0	0	0	0	
336	cultured :: rustic	cultured	rustic	0	0	0	0	0	0	0	
337	tautology :: oxymoron	tautology	oxymoron	0	0	0	0	0	0	0	
338	bad boy :: white knight	bad boy	white knight	1	0	0	1	0	0	0	white knight relates to care, bad boy to authority defiance
339	princess :: queen	princess	queen	0	0	0	1	0	0	0	royal titles relate to authority
340	hypochondriac :: stoic	hypochondriac	stoic	0	0	0	0	0	0	0	
341	yes-man :: contrarian	yes-man	contrarian	0	0	0	1	0	0	0	yes-man complies with authority, contrarian defies
342	giving :: receiving	giving	receiving	1	0	0	0	0	0	0	giving is a care virtue
343	chic :: cheesy	chic	cheesy	0	0	0	0	0	0	0	
344	celebrity :: boy/girl-next-door	celebrity	boy/girl-next-door	0	0	0	0	0	0	0	
345	goth :: flower child	goth	flower child	1	0	0	0	0	0	0	flower child relates to care (peace, love)
346	summer :: winter	summer	winter	0	0	0	0	0	0	0	
347	frank :: sugarcoated	frank	sugarcoated	0	1	0	0	0	0	0	frankness relates to honesty, sugarcoating to dishonesty
348	naive :: paranoid	naive	paranoid	0	0	0	0	0	0	0	
349	gullible :: cynical	gullible	cynical	0	0	0	0	0	0	0	
350	motivated :: unmotivated	motivated	unmotivated	0	0	0	0	0	0	0	
