trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
201	anarchist :: statist	anarchist	statist	0	0	0	0	0	1	0	contrasts freedom and authority
202	cool :: dorky	cool	dorky	0	0	0	0	0	1	0	contrasts individuality and conformity
203	important :: irrelevant	important	irrelevant	0	0	0	0	0	1	0	contrasts importance and insignificance
204	noob :: pro	noob	pro	0	0	0	0	0	1	0	contrasts competence and incompetence
205	deranged :: reasonable	deranged	reasonable	0	0	0	0	0	1	0	contrasts sanity and insanity
206	rural :: urban	rural	urban	0	0	0	0	0	1	0	contrasts rural and urban lifestyles
207	introspective :: not introspective	introspective	not introspective	0	0	0	0	0	1	0	contrasts introspection and extroversion
208	city-slicker :: country-bumpkin	city-slicker	country-bumpkin	0	0	0	0	0	1	0	contrasts city and country living
209	western :: eastern	western	eastern	0	0	0	0	0	1	0	contrasts western and eastern cultures
210	mad :: glad	mad	glad	0	0	0	0	0	1	0	contrasts happiness and sadness
211	social :: reclusive	social	reclusive	0	0	0	0	0	1	0	contrasts social and antisocial behavior
212	studious :: goof-off	studious	goof-off	0	0	0	0	0	1	0	contrasts diligence and laziness
213	slugabed :: go-getter	slugabed	go-getter	0	0	0	0	0	1	0	contrasts laziness and industriousness
214	penny-pincher :: overspender	penny-pincher	overspender	0	0	0	0	0	1	0	contrasts thriftiness and extravagance
215	liberal :: conservative	liberal	conservative	0	0	0	0	0	1	0	contrasts liberalism and conservatism
216	unassuming :: pretentious	unassuming	pretentious	0	0	0	0	0	1	0	contrasts humility and arrogance
217	persistent :: quitter	persistent	quitter	0	0	0	0	0	1	0	contrasts perseverance and giving up
218	hedonist :: monastic	hedonist	monastic	0	0	0	0	0	1	0	contrasts hedonism and asceticism
219	patriotic :: unpatriotic	patriotic	unpatriotic	0	1	0	0	0	0	0	contrasts patriotism and disloyalty
220	tactful :: indiscreet	tactful	indiscreet	0	0	0	0	0	1	0	contrasts tact and tactlessness
221	wholesome :: salacious	wholesome	salacious	1	0	0	0	0	0	0	contrasts wholesomeness and salaciousness
222	joyful :: miserable	joyful	miserable	0	0	0	0	0	1	0	contrasts joy and misery
223	zany :: regular	zany	regular	0	0	0	0	0	1	0	contrasts zaniness and normalcy
224	alert :: oblivious	alert	oblivious	0	0	0	0	0	1	0	contrasts alertness and unawareness
225	feminist :: sexist	feminist	sexist	1	0	0	0	0	0	0	contrasts feminism and sexism
