trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
251	oppressed :: privileged	oppressed	privileged	0	1	0	0	0	1	0	oppressed→liberty (anti-dominance); privileged→fairness (inequality).
252	sunny :: gloomy	sunny	gloomy	0	0	0	0	0	0	0	
253	vegan :: cannibal	vegan	cannibal	1	0	0	0	1	0	0	vegan→abstention/care for animals; cannibal→harm/disgust (purity).
254	loveable :: punchable	loveable	punchable	1	0	0	0	0	0	0	loveable evokes care; punchable implies harming.
255	slow-talking :: fast-talking	slow-talking	fast-talking	0	0	0	0	0	0	0	
256	believable :: poorly-written	believable	poorly-written	0	0	0	0	0	0	0	
257	vibrant :: geriatric	vibrant	geriatric	0	0	0	0	0	0	0	
258	consistent :: variable	consistent	variable	0	0	0	0	0	0	0	
259	dispassionate :: romantic	dispassionate	romantic	0	0	0	0	0	0	0	
260	linear :: circular	linear	circular	0	0	0	0	0	0	0	
261	intense :: lighthearted	intense	lighthearted	0	0	0	0	0	0	0	
262	knowledgeable :: ignorant	knowledgeable	ignorant	0	0	0	0	0	0	0	
263	fixable :: unfixable	fixable	unfixable	0	0	0	0	0	0	0	
264	exuberant :: subdued	exuberant	subdued	0	0	0	0	0	0	0	
265	secretive :: open-book	secretive	open-book	0	1	0	0	0	0	0	open-book→honesty/transparency.
266	perceptive :: unobservant	perceptive	unobservant	0	0	0	0	0	0	0	
267	folksy :: presidential	folksy	presidential	0	0	0	1	0	0	0	presidential→leadership/status.
268	corporate :: freelance	corporate	freelance	0	0	0	1	0	1	0	corporate→hierarchy; freelance→autonomy/liberty.
269	sleepy :: frenzied	sleepy	frenzied	0	0	0	0	0	0	0	
270	loose :: tight	loose	tight	0	0	0	0	0	0	0	
271	narcissistic :: low self esteem	narcissistic	low self esteem	0	0	0	0	0	0	1	narcissistic framed as vice (general morality).
272	poetic :: factual	poetic	factual	0	0	0	0	0	0	0	
273	melee :: ranged	melee	ranged	1	0	0	0	0	0	0	Both poles denote fighting/violence (harm domain).
274	giggling :: chortling	giggling	chortling	0	0	0	0	0	0	0	
275	whippersnapper :: sage	whippersnapper	sage	0	0	0	1	0	0	0	sage→respected elder/prestige (authority).
