trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
201	anarchist :: statist	anarchist	statist	0	0	0	1	0	1	0	Anarchist opposes authority/supports liberty; statist supports authority.
202	cool :: dorky	cool	dorky	0	0	0	0	0	0	0	
203	important :: irrelevant	important	irrelevant	0	0	0	0	0	0	0	
204	noob :: pro	noob	pro	0	0	0	0	0	0	0	
205	deranged :: reasonable	deranged	reasonable	0	0	0	0	0	0	0	
206	rural :: urban	rural	urban	0	0	0	0	0	0	0	
207	introspective :: not introspective	introspective	not introspective	0	0	0	0	0	0	0	
208	city-slicker :: country-bumpkin	city-slicker	country-bumpkin	0	0	0	0	0	0	0	
209	western :: eastern	western	eastern	0	0	0	0	0	0	0	
210	mad :: glad	mad	glad	0	0	0	0	0	0	0	
211	social :: reclusive	social	reclusive	0	0	0	0	0	0	0	
212	studious :: goof-off	studious	goof-off	0	0	0	0	1	0	1	Studious relates to self-improvement/discipline (purity); goof-off relates to lack of discipline (general vice).
213	slugabed :: go-getter	slugabed	go-getter	0	0	0	0	1	0	1	Go-getter relates to self-discipline/improvement (purity); slugabed relates to lack of discipline (general vice).
214	penny-pincher :: overspender	penny-pincher	overspender	0	0	0	0	1	0	1	Penny-pincher relates to self-discipline/austerity (purity); overspender relates to intemperance (purity vice) and general vice.
215	liberal :: conservative	liberal	conservative	0	1	1	1	1	1	0	Liberal relates to fairness, liberty; conservative relates to loyalty, authority, purity.
216	unassuming :: pretentious	unassuming	pretentious	0	0	0	0	1	0	1	Unassuming relates to modesty (purity); pretentious is a general vice.
217	persistent :: quitter	persistent	quitter	0	0	0	0	1	0	1	Persistent relates to self-discipline (purity); quitter relates to lack of discipline (general vice).
218	hedonist :: monastic	hedonist	monastic	0	0	0	0	1	0	1	Monastic strongly relates to purity virtues (self-discipline, abstinence, spirituality); hedonist relates to purity vices (intemperance, debauchery).
219	patriotic :: unpatriotic	patriotic	unpatriotic	0	0	1	0	0	0	0	Patriotic is a loyalty virtue; unpatriotic is a loyalty vice.
220	tactful :: indiscreet	tactful	indiscreet	0	0	0	0	0	0	1	Tactful is a general virtue; indiscreet is a general vice.
221	wholesome :: salacious	wholesome	salacious	0	0	0	0	1	0	1	Wholesome relates to purity/decency; salacious relates to purity vices (indecency, obscenity).
222	joyful :: miserable	joyful	miserable	0	0	0	0	0	0	0	
223	zany :: regular	zany	regular	0	0	0	0	0	0	0	
224	alert :: oblivious	alert	oblivious	0	0	0	0	0	0	0	
225	feminist :: sexist	feminist	sexist	0	1	0	0	0	1	0	Feminist relates to fairness/equality and liberty; sexist relates to unfairness/discrimination and restriction of liberty.
