trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
401	slumbering :: insomniac	slumbering	insomniac	0	0	0	0	0	0	0	
402	spirited :: lifeless	spirited	lifeless	0	0	0	0	0	0	0	
403	outgoing :: withdrawn	outgoing	withdrawn	0	0	0	0	0	0	0	
404	Hates PDA :: Constant PDA	Hates PDA	Constant PDA	0	0	0	0	1	0	0	Public displays of affection relate to purity norms around modesty and decency in public behavior.
405	buffoon :: charmer	buffoon	charmer	0	0	0	0	0	0	0	
406	sloppy :: fussy	sloppy	fussy	0	0	0	0	0	0	0	
407	accurate :: off target	accurate	off target	0	0	0	0	0	0	0	
408	harsh :: gentle	harsh	gentle	1	0	0	0	0	0	0	Gentleness is a core care foundation virtue; harshness is its opposite.
409	clinical :: heartfelt	clinical	heartfelt	1	0	0	0	0	0	0	Heartfelt pole relates to empathy and warmth, core care foundation traits.
410	inappropriate :: seemly	inappropriate	seemly	0	0	0	1	1	0	1	Seemly/inappropriate relate to decency (purity), social norms and propriety (authority), and general moral conduct.
411	smug :: sheepish	smug	sheepish	0	0	0	0	0	0	0	
412	fake :: real	fake	real	0	1	0	0	0	0	1	Fake pole relates to dishonesty (fairness); authenticity vs. deception also carries general moral valence.
413	popular :: rejected	popular	rejected	0	0	0	0	0	0	0	
414	catty :: supportive	catty	supportive	1	0	0	0	0	0	1	Supportive pole reflects care/nurturance; catty behavior is unkind and carries general moral negativity.
415	chronically single :: serial dater	chronically single	serial dater	0	0	0	0	0	0	0	
416	people-person :: things-person	people-person	things-person	0	0	0	0	0	0	0	
417	eager :: reluctant	eager	reluctant	0	0	0	0	0	0	0	
418	goal-oriented :: experience-oriented	goal-oriented	experience-oriented	0	0	0	0	0	0	0	
419	outdoorsy :: indoorsy	outdoorsy	indoorsy	0	0	0	0	0	0	0	
420	divine :: earthly	divine	earthly	0	0	0	0	1	0	0	Divine pole relates to purity foundation's sacred/spiritual dimension and striving toward an elevated, less carnal existence.
421	foodie :: unenthusiastic about food	foodie	unenthusiastic about food	0	0	0	0	0	0	0	
422	chill :: sassy	chill	sassy	0	0	0	0	0	0	0	
423	glamorous :: spartan	glamorous	spartan	0	0	0	0	0	0	0	
424	prankster :: anti-prank	prankster	anti-prank	0	0	0	0	0	0	0	
425	goofy :: unfrivolous	goofy	unfrivolous	0	0	0	0	0	0	0	
