trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
1	playful :: serious	playful	serious	0	0	0	0	0	0	0	
2	shy :: bold	shy	bold	0	0	0	0	0	0	0	
3	cheery :: sorrowful	cheery	sorrowful	0	0	0	0	0	0	0	
4	masculine :: feminine	masculine	feminine	0	0	0	0	0	0	0	
5	charming :: awkward	charming	awkward	0	0	0	0	0	0	0	
6	lewd :: tasteful	lewd	tasteful	0	0	0	0	1	0	0	Lewd is a PurityVice.
7	intellectual :: physical	intellectual	physical	0	0	0	0	0	0	0	
8	strict :: lenient	strict	lenient	0	0	0	1	0	0	0	Strictness relates to enforcing rules/order (Authority).
9	refined :: rugged	refined	rugged	0	0	0	0	1	0	0	Refined is a PurityVirtue.
10	trusting :: suspicious	trusting	suspicious	0	0	0	0	0	0	0	
11	innocent :: worldly	innocent	worldly	0	0	0	0	1	0	0	Innocent is a PurityVirtue.
12	artistic :: scientific	artistic	scientific	0	0	0	0	0	0	0	
13	stoic :: expressive	stoic	expressive	0	0	0	0	0	0	0	
14	cunning :: honorable	cunning	honorable	0	1	0	1	0	0	1	Honorable is an AuthorityVirtue and FairnessVirtue. Cunning can imply deceit (FairnessVice).
15	orderly :: chaotic	orderly	chaotic	0	0	0	1	0	0	0	Orderly relates to upholding order (Authority).
16	normal :: weird	normal	weird	0	0	1	1	0	0	0	Weird can imply nonconformity (AuthorityVice, IngroupVice).
17	competitive :: cooperative	competitive	cooperative	0	0	1	0	0	0	0	Cooperative relates to group cohesion (Loyalty).
18	tense :: relaxed	tense	relaxed	0	0	0	0	0	0	0	
19	brave :: careful	brave	careful	1	0	1	0	0	1	0	Brave can relate to self-sacrifice (Loyalty) or opposing oppressors (Liberty). Careful can relate to protecting from harm (Care).
20	spiritual :: skeptical	spiritual	skeptical	0	0	0	0	1	0	1	Spiritual relates to PurityVirtue and MoralityGeneral.
21	unlucky :: fortunate	unlucky	fortunate	0	0	0	0	0	0	0	
22	ferocious :: pacifist	ferocious	pacifist	1	0	0	0	0	0	0	Ferocious implies harm (HarmVice). Pacifist implies peace (HarmVirtue).
23	modest :: flamboyant	modest	flamboyant	0	0	0	0	1	0	0	Modest is a PurityVirtue.
24	dominant :: submissive	dominant	submissive	0	0	0	1	0	0	0	Both poles relate to hierarchical social interactions (Authority).
25	forgiving :: vengeful	forgiving	vengeful	1	1	0	0	0	0	1	Forgiving relates to kindness (Care). Vengeful relates to harm (CareVice) and unfairness (FairnessVice).
26	wise :: foolish	wise	foolish	0	0	0	0	0	0	1	Relates to general good/bad judgment or character.
27	impulsive :: cautious	impulsive	cautious	1	0	0	0	0	0	0	'Cautious' can prevent harm.
28	loyal :: traitorous	loyal	traitorous	0	0	1	1	0	0	0	'Loyal' is IngroupVirtue. 'Traitorous' is IngroupVice and AuthorityVice.
29	creative :: conventional	creative	conventional	0	0	0	1	0	0	0	'Conventional' implies respect for tradition/authority.
30	curious :: apathetic	curious	apathetic	1	0	0	0	0	0	0	'Apathetic' can imply a lack of care or concern for suffering.
31	rude :: respectful	rude	respectful	0	0	0	1	0	0	0	'Respectful' is AuthorityVirtue. 'Rude' is disrespect.
